iter	Passed	Remaining
441	1175	1483
442	1177	1480
443	1179	1476
444	1180	1472
445	1182	1468
446	1184	1464
447	1185	1461
448	1187	1457
449	1192	1457
450	1194	1453
451	1196	1450
452	1198	1447
453	1200	1443
454	1202	1439
455	1203	1435
456	1206	1433
457	1208	1429
458	1209	1425
459	1211	1422
460	1212	1418
461	1214	1414
462	1216	1410
463	1217	1406
464	1220	1404
465	1222	1400
466	1224	1397
467	1225	1393
468	1227	1390
469	1229	1386
470	1231	1383
471	1233	1379
472	1236	1378
473	1238	1374
474	1239	1370
475	1241	1366
476	1242	1362
477	1244	1358
478	1246	1355
479	1247	1351
480	1250	1349
481	1252	1345
482	1253	1342
483	1255	1338
484	1256	1334
485	1258	1330
486	1259	1326
487	1261	1323
488	1262	1319
489	1265	1317
490	1267	1313
491	1268	1310
492	1270	1306
493	1271	1302
494	1273	1299
495	1274	1295
496	1276	1291
497	1277	1287
498	1281	1286
499	1282	1282
500	1284	1279
501	1286	1275
502	1287	1272
503	1288	1268
504	1290	1264
505	1291	1261
506	1293	1257
507	1296	1255
508	1297	1251
509	1299	1248
510	1300	1244
511	1302	1241
512	1303	1237
513	1305	1234
514	1306	1230
515	1309	1228
516	1311	1225
517	1313	1221
518	1314	1218
519	1316	1215
520	1318	1212
521	1320	1209
522	1322	1205
523	1326	1204
524	1327	1201
525	1329	1197
526	1330	1194
527	1332	1190
528	1333	1187
529	1334	1183
530	1336	1180
531	1339	1178
532	1341	1175
533	1343	1172
534	1344	1168
535	1346	1165
536	1347	1161
537	1349	1158
538	1350	1155
539	1353	1152
540	1355	1149
541	1357	1146
542	1358	1143
543	1359	1139
544	1361	1136
545	1362	1133
546	1364	1129
547	1365	1126
548	1369	1124
549	1371	1121
550	1372	1118
551	1374	1115
552	1375	1112
553	1377	1108
554	1378	1105
555	1380	1102
556	1382	1099
557	1385	1097
558	1386	1093
559	1387	1090
560	1389	1087
561	1390	1083
562	1391	1080
563	1393	1077
564	1394	1073
565	1396	1070
566	1399	1068
567	1400	1065
568	1402	1062
569	1403	1059
570	1405	1055
571	1406	1052
572	1408	1049
573	1409	1046
574	1413	1044
575	1415	1042
576	1417	1039
577	1419	1036
578	1421	1033
579	1423	1030
580	1424	1027
581	1427	1025
582	1429	1022
583	1431	1019
584	1432	1016
585	1434	1013
586	1435	1010
587	1437	1006
588	1438	1003
589	1440	1000
590	1442	998
591	1443	995
592	1445	991
593	1446	988
594	1447	985
595	1449	982
596	1450	979
597	1452	976
598	1455	974
599	1457	971
600	1458	968
601	1460	965
602	1461	962
603	1463	959
604	1464	956
605	1466	953
606	1467	950
607	1471	948
608	1472	945
609	1474	942
610	1475	939
611	1476	936
612	1478	933
613	1480	930
614	1481	927
615	1483	924
616	1486	922
617	1488	919
618	1489	917
619	1491	914
620	1493	911
621	1494	908
622	1496	905
623	1497	902
624	1501	901
625	1503	898
626	1504	895
627	1506	892
628	1507	889
629	1508	886
630	1510	883
631	1511	880
632	1513	877
633	1516	875
634	1518	872
635	1519	869
636	1521	867
637	1523	864
638	1525	861
639	1527	859
640	1531	857
641	1533	854
642	1534	852
643	1536	849
644	1537	846
645	1538	843
646	1540	840
647	1541	837
648	1543	834
649	1548	833
650	1550	831
651	1552	828
652	1554	826
653	1557	823
654	1559	821
655	1561	818
656	1562	815
657	1564	813
658	1565	810
659	1567	807
660	1568	804
661	1570	801
662	1571	798
663	1576	797
664	1578	795
665	1579	792
666	1581	789
667	1582	786
668	1583	783
669	1585	780
670	1586	777
671	1589	775
672	1591	773
673	1592	770
674	1594	767
675	1596	765
676	1598	762
677	1599	759
678	1601	757
679	1603	754
680	1606	752
681	1607	749
682	1609	746
683	1610	744
684	1612	741
685	1613	738
686	1615	735
687	1616	733
688	1619	730
689	1621	728
690	1623	725
691	1624	723
692	1626	720
693	1627	717
694	1629	715
695	1632	713
696	1634	710
697	1635	707
698	1637	705
699	1638	702
700	1640	699
701	1642	697
702	1643	694
703	1647	692
704	1648	689
705	1650	687
706	1652	684
707	1653	681
708	1655	679
709	1656	676
710	1658	674
711	1662	672
712	1664	669
713	1666	667
714	1667	664
715	1669	662
716	1671	659
717	1673	657
718	1676	655
719	1678	652
720	1680	650
721	1681	647
722	1682	644
723	1684	642
724	1685	639
725	1687	636
726	1688	634
727	1691	632
728	1693	629
729	1695	626
730	1697	624
731	1699	622
732	1700	619
733	1702	616
734	1704	614
735	1706	612
736	1708	609
737	1709	606
738	1711	604
739	1712	601
740	1714	599
741	1715	596
742	1718	594
743	1720	592
744	1722	589
745	1723	586
746	1725	584
747	1726	581
748	1728	579
749	1730	576
750	1731	574
751	1734	572
752	1736	569
753	1738	567
754	1739	564
755	1741	561
756	1742	559
757	1744	556
758	1746	554
759	1750	552
760	1751	550
761	1753	547
762	1754	545
763	1756	542
764	1758	540
765	1759	537
766	1761	535
767	1765	533
768	1767	530
769	1768	528
770	1770	525
771	1772	523
772	1773	520
773	1775	518
774	1778	516
775	1780	513
776	1782	511
777	1783	509
778	1785	506
779	1787	504
780	1789	501
781	1790	499
782	1795	497
783	1796	495
784	1798	492
785	1799	490
786	1801	487
787	1803	485
788	1804	482
789	1806	480
790	1810	478
791	1811	475
792	1813	473
793	1815	470
794	1816	468
795	1818	465
796	1819	463
797	1821	461
798	1825	459
799	1827	456
800	1828	454
801	1830	451
802	1831	449
803	1833	446
804	1834	444
805	1836	442
806	1840	440
807	1841	437
808	1843	435
809	1844	432
810	1846	430
811	1847	427
812	1849	425
813	1850	422
814	1852	420
815	1854	418
816	1856	415
817	1857	413
818	1859	410
819	1861	408
820	1862	406
821	1864	403
822	1866	401
823	1869	399
824	1871	396
825	1872	394
826	1874	392
827	1875	389
828	1877	387
829	1879	384
830	1880	382
831	1883	380
832	1885	378
833	1887	375
834	1889	373
835	1891	371
836	1893	368
837	1894	366
838	1896	363
839	1899	361
840	1901	359
841	1903	357
842	1905	354
843	1907	352
844	1909	350
845	1911	347
846	1914	345
847	1915	343
848	1917	341
849	1918	338
850	1920	336
851	1922	333
852	1924	331
853	1925	329
854	1929	327
855	1930	324
856	1932	322
857	1933	320
858	1935	317
859	1936	315
860	1938	312
861	1940	310
862	1942	308
863	1944	306
864	1946	303
865	1947	301
866	1949	299
867	1951	296
868	1952	294
869	1954	292
870	1956	289
871	1959	287
872	1960	285
873	1962	282
874	1963	280
875	1965	278
876	1967	275
877	1969	273
878	1970	271
879	1973	269
880	1975	266
881	1977	264
882	1978	262
883	1980	259
884	1982	257
885	1984	255
886	1987	253
887	1989	250
888	1990	248
889	1992	246
890	1993	243
891	1995	241
892	1996	239
893	1997	236
894	1999	234
895	2001	232
896	2003	230
897	2004	227
898	2006	225
899	2007	223
900	2009	220
901	2010	218
902	2011	216
903	2013	213
904	2014	211
905	2017	209
906	2019	207
907	2020	204
908	2022	202
909	2023	200
910	2024	197
911	2026	195
912	2027	193
913	2029	190
914	2033	188
915	2035	186
916	2036	184
917	2038	182
918	2039	179
919	2041	177
920	2042	175
921	2044	172
922	2048	170
923	2049	168
924	2051	166
925	2053	164
926	2054	161
927	2056	159
928	2057	157
929	2059	155
930	2063	152
931	2065	150
932	2067	148
933	2068	146
934	2070	143
935	2072	141
936	2074	139
937	2078	137
938	2080	135
939	2081	132
940	2083	130
941	2085	128
942	2087	126
943	2088	123
944	2092	121
945	2094	119
946	2096	117
947	2097	115
948	2099	112
949	2100	110
950	2102	108
951	2104	106
952	2107	103
953	2109	101
954	2111	99
955	2112	97
956	2114	94
957	2115	92
958	2117	90
959	2118	88
960	2123	86
961	2124	83
962	2126	81
963	2127	79
964	2129	77
965	2130	74
966	2132	72
967	2134	70
968	2137	68
969	2139	66
970	2140	63
971	2142	61
972	2144	59
973	2145	57
974	2147	55
975	2149	52
976	2152	50
977	2154	48
978	2156	46
979	2157	44
980	2159	41
981	2161	39
982	2163	37
983	2167	35
984	2168	33
985	2170	30
986	2172	28
987	2173	26
988	2175	24
989	2176	21
990	2178	19
991	2181	17
992	2183	15
993	2184	13
994	2186	10
995	2187	8
996	2189	6
997	2190	4
998	2192	2
999	2194	0
